weather,kind,year,month,ratio,inn,out,AT_1,AT_2,AT_3,AT_4,AT_5,AT_6,AT_7,AT_8,AT_9,AT_10,AT_11,AT_12,HT_1,HT_2,HT_3,HT_4,HT_5,HT_6,HT_7,HT_8,HT_9,HT_10,HT_11,HT_12,LT_1,LT_2,LT_3,LT_4,LT_5,LT_6,LT_7,LT_8,LT_9,LT_10,LT_11,LT_12,RAIN_1,RAIN_2,RAIN_3,RAIN_4,RAIN_5,RAIN_6,RAIN_7,RAIN_8,RAIN_9,RAIN_10,RAIN_11,RAIN_12,SUN_1,SUN_2,SUN_3,SUN_4,SUN_5,SUN_6,SUN_7,SUN_8,SUN_9,SUN_10,SUN_11,SUN_12
영천,7,21,10,8098,5213.902,7.88,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,2,21,10,8098,5213.902,7.88,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,6,21,10,8098,5213.902,7.88,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,4,21,9,8098,3378.0029999999997,2.2,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,0,21,9,8098,3378.0029999999997,2.2,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,7,21,9,8098,3378.0029999999997,2.2,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
영천,2,21,9,8098,3378.0029999999997,2.2,3.3,4.2,8.2,11.3,18.0,23.0,22.0,27.0,19.8,13.8,8.3,0.6,8.7,10.4,15.0,18.5,24.4,29.1,25.8,31.9,25.0,20.6,14.9,7.1,-1.1,-1.5,1.2,3.9,12.0,17.3,18.9,23.3,15.5,8.1,2.2,-5.1,101.3,55.4,21.1,36.5,46.4,142.0,338.5,246.9,201.6,11.1,32.8,0.9,130.5,179.9,224.0,258.5,228.3,217.1,93.8,190.0,140.2,198.3,160.8,172.4
의성,4,21,12,8098,6157.8009999999995,1.79,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,0,21,12,8098,6157.8009999999995,1.79,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,7,21,12,8098,6157.8009999999995,1.79,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,2,21,12,8098,6157.8009999999995,1.79,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,6,21,12,8098,6157.8009999999995,1.79,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,4,21,11,8098,4786.045000000001,2.016,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,0,21,11,8098,4786.045000000001,2.016,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,7,21,11,8098,4786.045000000001,2.016,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,2,21,11,8098,4786.045000000001,2.016,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,6,21,11,8098,4786.045000000001,2.016,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,4,21,10,8098,5213.902,7.88,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,0,21,10,8098,5213.902,7.88,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,7,21,10,8098,5213.902,7.88,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,2,21,10,8098,5213.902,7.88,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,6,21,10,8098,5213.902,7.88,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,4,21,9,8098,3378.0029999999997,2.2,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,0,21,9,8098,3378.0029999999997,2.2,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,7,21,9,8098,3378.0029999999997,2.2,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
의성,2,21,9,8098,3378.0029999999997,2.2,1.2,2.1,7.2,10.3,17.7,23.1,22.5,26.8,19.5,12.3,6.5,-2.2,8.2,9.5,15.6,19.0,25.0,30.1,26.9,32.0,25.8,20.8,14.7,6.3,-4.0,-4.3,-1.0,1.6,10.6,16.6,19.0,23.0,14.7,5.5,-0.3,-8.6,58.9,54.8,17.1,35.2,54.9,144.3,373.8,222.3,116.5,4.6,45.1,1.4,146.8,177.4,218.4,240.8,223.3,222.4,98.0,152.9,128.9,200.2,171.6,193.6
